#OTU ID	S324	S164	S400	S346	S145	S568	S389	S459	S566	S579	S532	S332	S119	S147	S112	S169	S325	S105	S355	S165	S55	S229	S116	S58	S176	S507	S490	S565	S161	S341	S511	S571	S92	S354	S557	S174	S71	S113	S166	S533	S580	S168	S554	S516	S100	S508	S336	S276	S267	S111	S638	S647	S668	S196	S210	S632	S76	S436	S603	S683	S21	S454	S644	S678	S456	S425	S642	S599	S687	S674	S433	S320	S653	S663	S648	S423	S303	S444	S662	S288	S596	S435	S602	S637	S80	S260	S37	S90	S453	S428	S438	S701	S645	S604	S286	S608	S609	S698	S643	S685	S652
Otu000019_Truepera	9719	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	0	28	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	23	0	72	45	21	15	75	12	1	0	78	5	0	4	25	19	3	0	4	8	6	0	4	4	0	0	0	1	0	0	0	10	6	7	796	0	0	19	3	3	6	3	0	2	0	0	1	23	3	4	0
Otu000020_Oxalobacteraceae_unclassified	3	219	249	2403	161	200	15	91	0	119	412	7	545	0	231	25	11	0	794	29	54	26	375	15	83	1731	16	0	8	270	21	54	60	3888	19	3	26	0	41	273	14	15	55	1	57	2343	36	29	0	0	17	3	20	9	1	47	66	2	76	9	0	8	3	29	10	71	14	15	70	25	4	4	12	6	13	115	0	21	8	0	102	31	108	14	5	18	80	36	7	13	1	46	8	7	4	1	1	9	72	0	7
Otu000024_Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	191	89	0	184	330	114	45	409	0	11	94	118	55	19	1	52	2	0	380	22	47	8	47	459	117	114	64	232	7	109	14	20	6	128	110	13	2	167	50	16	28	31	62	2	338	51	247	19	230	27	71	10	24	53	46	7	210	5	12	35	163	60	35	23	21	28	10	23	7	39	10	24	6	28	26	54	0	52	12	37	181	4	108	35	12	53	18	0	60	18	12	35	26	19	10	3	37	8	49	36	25
Otu000027_Bosea	331	288	9	47	522	122	0	44	1	14	57	338	27	18	0	27	0	0	38	36	21	19	41	10	152	85	78	2	1	40	1	14	1	32	52	0	167	16	154	9	24	35	31	11	29	175	135	0	0	0	192	140	93	329	141	81	46	51	24	46	54	58	40	37	103	115	71	18	44	35	34	59	67	98	40	18	0	113	79	6	4	55	5	79	185	50	35	2	33	95	157	45	114	63	132	14	15	8	52	3	23
Otu000028_Oxalobacteraceae_unclassified	188	77	0	516	0	49	6	29	0	0	5	94	19	0	3	1	0	0	2	8	12	0	45	9	0	0	44	0	8	11	4	4	0	1	1	0	91	0	54	68	6	32	25	0	16	17	0	0	0	0	172	68	33	52	5	50	0	37	102	318	97	58	36	16	95	60	174	323	74	10	70	58	14	11	3	5	0	48	12	43	7	33	69	129	13	80	36	0	54	43	33	20	16	37	1	41	20	9	76	7	260
Otu000030_Aeromicrobium	36	911	0	9	18	216	11	10583	0	263	5	0	27	18	3	119	259	0	2218	92	17	5	30	84	51	1	8	848	0	0	107	0	0	10	31	31	11	7	488	0	4	106	132	0	3	6	60	16	0	0	4	34	18	83	152	1	53	5	26	15	18	9	80	4	23	4	2	12	23	44	4	26	19	81	39	261	0	328	28	0	18	4	26	10	9	0	2	35	2	6	5	12	46	10	17	16	2	47	0	37	12
Otu000033_Aureimonas	102	341	2	55	238	106	6	46	0	4	7	1	59	12	44	145	0	0	58	76	14	7	11	61	536	45	47	396	2	11	32	2	18	281	86	739	18	36	64	1	15	85	115	0	269	38	27	26	0	0	148	97	46	291	246	6	42	22	2	73	65	22	65	254	13	10	12	19	22	23	16	47	24	40	70	62	0	100	14	12	44	17	45	27	5	73	7	113	25	25	73	15	58	12	10	1	9	11	33	10	50
Otu000034_Micromonosporaceae_unclassified	287	19	2	37	11	0	0	112	0	2	0	4	3	0	0	17	0	5	5	4	19	81	0	8	3	0	22	0	0	0	0	0	0	3	4	0	2	6	110	0	0	1	0	0	22	4	26	20	317	0	4	62	154	23	2	2	4	51	174	31	125	163	30	14	63	25	93	7	63	11	27	3	49	4	18	3	0	16	108	81	1	29	18	11	26	66	33	7	65	211	85	38	29	115	6	325	13	29	3	44	1
Otu000036_Aetherobacter	0	0	0	1	0	2	0	0	0	31	0	0	32	0	0	0	0	0	0	0	0	15	4410	1	0	0	0	0	0	0	7	4	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	122	35	0	0	1	0	41	283	24	268	0	7	18	1	24	64	3	161	69	4	214	47	51	0	14	0	0	590	12	2	4	309	52	0	29	83	16	0	0	0	31	125	268	0	0	7	0	30	0	0	28
Otu000037_Methylotenera	27	63	34	20	0	273	2	1235	0	11	3	20	1	0	0	0	0	0	9	39	76	862	70	833	45	0	151	4	0	20	1	58	0	0	17	2	35	0	0	0	7	2	39	0	0	0	0	141	0	0	224	52	18	26	34	0	0	73	26	9	646	162	44	21	80	40	152	1	13	14	49	3	3	22	10	2	0	24	23	0	29	20	9	102	39	0	0	1	15	13	21	34	17	0	37	0	0	33	113	0	47
Otu000039_Bacillus	20	10	24	46	0	0	0	116	0	1	0	0	0	0	0	15	0	7	0	1	27	395	0	10	5	0	20	1	0	10	0	0	0	0	3	0	232	23	3	3	30	2	6	16	2	1	31	13	1	0	8	13	0	39	11	1	23	11	12	70	5	49	14	15	27	3	6	190	28	3	10	75	18	4	1	0	0	60	0	118	21	10	162	1	0	92	0	0	11	6	14	7	8	11	62	38	0	5	0	17	41
Otu000041_Polyangiaceae_unclassified	125	100	0	0	0	0	8	0	0	0	0	16	187	0	0	0	0	0	0	0	14	4	0	2	0	0	0	0	0	0	0	2	11	0	0	0	0	66	0	0	0	0	0	0	0	6	0	0	0	0	124	14	10	3	0	3	0	3	9	73	32	24	6	1	24	104	92	10	6	5	9	0	34	12	1	0	0	20	3	7	0	15	27	40	0	44	0	0	48	20	5	8	6	10	0	33	19	32	6	13	11
Otu000042_Marmoricola	605	4	0	27	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	37	0	9	4	0	0	13	0	0	2	7	0	0	0	0	20	1	0	4	0	13	0	5	0	0	0	67	0	0	0	3	73	17	56	76	10	5	84	26	153	15	75	241	58	75	13	4	127	142	28	67	116	43	5	19	15	0	14	43	65	6	60	122	6	41	193	35	16	63	9	60	49	74	23	85	16	13	96	12	62	95
Otu000043_Flavobacterium	5	257	2	268	494	75	7	0	0	0	0	12	51	0	0	3	0	0	90	5	9	1	83	7	5	1	10	0	0	7	0	3	0	0	8	0	14	0	535	1	122	7	0	2	0	76	0	0	0	1	135	37	7	18	28	6	5	13	4	2	30	3	13	0	0	41	199	0	11	42	44	10	30	221	29	12	0	7	24	5	0	13	0	194	31	0	38	1	2	18	34	41	37	5	0	0	11	42	119	1	2
